,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
18,1091PD,MFH_1964,49.0178561695597,30.8345377544288,32.4740758319859,34.1286814451674,35.7951003629063,37.472099246488,35.7507596071835,37.7491992507503,39.7619188763042,41.7883389632443,43.8265574952393,41.030786661802,43.4141765794152,45.8198557509106,48.246888027625,50.6929404676522,46.6436814338957,49.464743140738,52.3128045637827,55.1837644803157,58.0753642459435,52.6459100332995,55.9440806492394,59.2729955760341,62.6319118385541,66.0190462964888
19,1091PG,TH_1964,40.5571200802618,30.2155975003004,31.8703088033116,33.5369668728994,35.2140386341666,36.9004958051699,35.0914487305008,37.1013473127316,39.125174441284,41.163490997218,43.2165774210636,40.309231750871,42.7151497534844,45.1445873685443,47.5924405784053,50.0551758323898,45.882893803768,48.7296456234526,51.5997300952304,54.4915206640275,57.4028672857809,51.839207611786,55.1652883852884,58.5246667977155,61.9130614569763,65.3251439930016
20,1091PH,MFH_1964,44.9111575726394,31.1480062804213,32.8086740722035,34.4803042675507,36.1617333609434,37.8523068805272,36.2138547722546,38.2303189158926,40.2601270134554,42.3048970648059,44.3647017890388,41.6372266944489,44.0556092759198,46.4949349567387,48.9504588159594,51.4201628986969,47.4417921124131,50.3002706565699,53.1805649292141,56.0818023012062,59.0022920535884,53.6435128674905,56.9856097526655,60.3594848823371,63.7601024591796,67.1826812026993
21,1091PP,MFH_1964,32.1037176960198,14.8357385673645,16.1879600220464,17.5615853189573,18.9510408059591,20.3530306476549,16.8632245213801,18.5085080964739,20.1795475435483,21.869293083415,23.5728709517614,19.061648532864,21.0309928964253,23.0317940364374,25.0561495830878,27.0996057047594,21.4218993348505,23.7477792819855,26.1118858296292,28.5082635686479,30.9289592282964,23.9457202842871,26.6683984528151,29.4392161785085,32.2439466506586,35.0701954921363
22,1091PR,MFH_1964,35.528521605533,19.2867314228687,20.9829305223678,22.6983590945805,24.4291497595197,26.1730311987803,22.5035781945955,24.5636639880391,26.6441609536369,28.7452072121025,30.8675701007352,25.9697635482681,28.4283582945883,30.9223886773777,33.4415877235751,35.9820113194636,29.6770309345489,32.5858992079382,35.5315229379509,38.5105872274552,41.5167078301232,33.6423231610006,37.0377293222109,40.4826901261924,43.9690104105914,47.4891549231316
23,1091VP,MFH_1964,33.3672682194402,22.4230032375058,24.1121156856594,25.8151169509291,27.5304745854334,29.2558657208043,26.1888890547584,28.2370943691388,30.3005435071833,32.3849952467204,34.4867071887131,30.2386648748287,32.687710161936,35.1643233798811,37.6629877162905,40.1809608960076,34.5818318745825,37.4778196191062,40.404149831685,43.3575156511006,46.3342553334677,39.225003776456,42.6072291682857,46.0307983908569,49.4892751630672,52.9776911275742
24,1091VR,MFH_1964,41.3912754902143,20.6504495798249,22.3440563926189,24.0534165647452,25.7752152933208,27.5079399983895,24.1676163514473,26.221539019368,28.2910219513075,30.3822120147477,32.4925989706123,27.9642242243618,30.417242722885,32.900303633945,35.4064233437007,37.9342019111288,32.0385514320222,34.939293597616,37.87418145116,40.8373577681423,43.8251376463291,36.3947977974988,39.7811424941757,43.212220938497,46.6814357072489,50.1819319167996
25,1091VS,MFH_1964,38.135542076852,20.5476883201464,22.242995885472,23.9556226347563,25.6797153252724,27.4158352268709,24.0543259470389,26.1109790421231,28.1839731079979,30.2765154009519,32.390017113752,27.8435549255227,30.2972022040135,32.7829220453907,35.2924236921481,37.823622427698,31.9062185388936,34.8092665685473,37.7485084854183,40.7156856045632,43.7076548148192,36.2521791002392,39.6409821310875,43.0756649631446,46.5489631609168,50.0545263569527
26,1091VT,MFH_1964,36.4335828761216,19.9682762253853,21.6621697431432,23.375024637387,25.1003832773937,26.8381348704791,23.3589122156319,25.4143539162507,27.4882188574619,29.5798739382141,31.6942573467073,27.0217183478247,29.4707114894468,31.9548575669413,34.4646758920654,36.9962570658273,30.9399174441047,33.8388396753467,36.7759695550336,39.7435832503398,42.7366950904863,35.1323600882738,38.5162218972717,41.9469490115907,45.419381657663,48.925416142032
27,1091VV,MFH_1964,37.4676475468231,17.8405168155209,19.5185610889422,21.2204306160975,22.9395809377026,24.672365549483,20.8950683314886,22.9337850276829,24.9992463197429,27.0843089089726,29.1899031351723,24.2080190535725,26.6399059041814,29.1105141388883,31.6099949880844,34.1335363493546,27.75289172493,30.6291388060864,33.5484167763925,36.5048227902192,39.4914060329675,31.5446466372908,34.9029059770007,38.317081946771,41.7762991951443,45.2706768718287
28,1091WS,MFH_1964,38.2035998624872,21.43213133867,23.1327881652952,24.848810612156,26.5789599653023,28.3212459315332,24.9925988573141,27.0565746609604,29.1395069634845,31.2448057077827,33.3679892546197,28.8258618076779,31.2959130968273,33.7967930533879,36.3200116154542,38.8642883146731,32.9369446362337,35.8597110788297,38.8141412768931,41.7981753465519,44.8090853334888,37.3368426690558,40.7536193694816,44.2147949182333,47.7138417103375,51.2401958818823
29,1091WV,MFH_75_91,33.8824156244585,10.6898352736785,12.3459723908133,14.0348831857399,15.7493517619381,17.4834596624095,12.5880070676945,14.6041036730709,16.6623937226327,18.7496895434289,20.8562692256156,14.6650122380344,17.0784808000645,19.5393325643684,22.0370636027602,24.5618809128194,16.8968925863991,19.7446656986031,22.6468424050158,25.5991926973321,28.5915325639605,19.2747082212869,22.5974863837425,26.0022520601101,29.459199687669,32.9470014934527
30,1091ZC,MFH_1964,29.3266424189119,22.2710130800663,23.9917921932062,25.7270931270255,27.474876936343,29.2360271640705,25.9971174338547,28.0907516557951,30.2074033033366,32.3422242179372,34.4904795157871,30.0157877661975,32.5343834737912,35.0751357190206,37.6366172402587,40.2150899713401,34.3330729477991,37.310386011268,40.3171731600784,43.3527094359436,46.4109233132129,38.966870386361,42.4584733893659,45.9826542053768,49.5321179416346,53.1032398067059
