"archetype","yearRange","caseID","c_WWR","c_WRR","c_SW","c_GSW","c_Ninf","c_WOR","c_Gwindow","c_Tmax","p_Tmin","p_Uroof","p_Uwall","p_Ufloor","p_Uwindow"
"MFH_65_74","65_74",18,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","1.1375","2.0275","2.4575","3.1125"
"MFH_65_74","65_74",19,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","1.1375","2.0275","2.4575","3.1125"
"MFH_65_74","65_74",20,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","1.1375","2.0275","2.4575","3.1125"
"MFH_65_74","65_74",21,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","1.46","2.63","3.18","3.55"
"MFH_65_74","65_74",22,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","1.46","2.63","3.18","3.55"
"MFH_65_74","65_74",23,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","1.46","2.63","3.18","3.55"
"MFH_65_74","65_74",24,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","1.46","2.63","3.18","3.55"
"MFH_65_74","65_74",25,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","1.46","2.63","3.18","3.55"
"MFH_75_91","75_91",1,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","0.17","0.22","0.29","1.8"
"MFH_75_91","75_91",2,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","0.17","0.22","0.29","1.8"
"MFH_75_91","75_91",3,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","0.17","0.22","0.29","1.8"
"MFH_75_91","75_91",4,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","0.17","0.22","0.29","1.8"
