postcode;2012;2013;2014;2015;2010;2011;mean;N2012;N2013;N2014;N2015;N2010;N2011
1097RH;87.2172723;84.79810708;77.66793591;74.99412173;97.8488668;96.12998625;86.44271501;1.008960354;0.980974592;0.898490242;0.867558611;1.131950411;1.112065791
1097RJ;103.9527208;98.96231357;97.69356596;93.6335736;109.4506271;108.1818795;101.9791134;1.019353055;0.970417473;0.957976223;0.918164224;1.073265137;1.060823887
1097RK;114.1415023;106.4209395;94.92782898;99.92864806;120.8092611;127.9156882;110.6906447;1.031175694;0.961426684;0.857595773;0.902774108;1.091413474;1.155614267
1097RL;146.1934475;148.0439975;139.4080976;130.6488278;163.8353572;;145.6259455;1.003896984;1.016604541;0.957302609;0.897153507;1.125042359;
1097RM;182.5569323;185.452663;181.0461163;173.6179377;188.0965909;195.9024736;184.4454523;0.989761092;1.005460751;0.981569966;0.941296928;1.019795222;1.062116041
1097RN;134.8164894;137.5925417;137.1654567;133.2505112;139.7991474;139.7991474;137.070549;0.983555479;1.003808205;1.000692401;0.972130864;1.019906526;1.019906526
1097RP;181.0512079;254.0408107;173.2258118;172.7278321;188.9477438;187.3826646;192.8960118;0.938594874;1.31698322;0.898026922;0.895445325;0.979531625;0.971418034
1097RR;184.2133625;195.6055047;187.4855736;186.0312576;191.3637496;195.3631187;190.0104278;0.969490805;1.029446157;0.986712023;0.979058148;1.007122356;1.028170511
1097RS;158.6694315;168.4741741;161.0608322;165.4849233;161.1804022;163.8109429;163.113451;0.97275504;1.032864997;0.987416005;1.01453879;0.988149053;1.004276115
1097RT;208.7863633;189.9912197;188.6799306;189.9912197;208.6406645;215.4885076;200.2629842;1.042560931;0.948708621;0.942160786;0.948708621;1.041833394;1.076027646
1097RW;;144.0541129;154.0678049;144.9124293;162.364864;;151.3498028;;0.951795841;1.017958412;0.957466919;1.072778828;
1097RZ;152.5827974;148.5188488;137.9279524;135.3418033;161.9421942;159.602345;149.3193235;1.02185567;0.994639175;0.92371134;0.906391753;1.084536082;1.068865979
1097SB;162.1058875;;147.8643466;154.0563209;157.0284686;161.8582085;156.5826464;1.035273648;;0.944321417;0.983865865;1.0028472;1.03369187
1097SE;196.825966;172.3033866;171.8193883;175.368709;185.2100073;194.5673073;182.6824608;1.077421254;0.943185163;0.940535767;0.959964675;1.013835737;1.065057404
1097SG;191.7247362;188.8398498;197.4945088;190.0418858;188.1186283;191.6045326;191.3040236;1.002199183;0.98711907;1.032359409;0.993402451;0.983349042;1.001570845
1097SJ;229.6297357;186.8753841;183.455036;182.9886249;205.8427692;195.8926655;197.4473692;1.162992126;0.946456693;0.929133858;0.926771654;1.042519685;0.992125984
1097SK;198.335585;199.3614587;170.2950368;174.2275527;194.745027;197.4806902;189.0742251;1.048982668;1.05440844;0.900678222;0.921477016;1.029992464;1.044461191
1097SL;138.8610387;122.3259454;116.7580058;134.1367263;127.2189832;144.4289783;130.621613;1.063078579;0.93649085;0.89386437;1.026910657;0.973950484;1.105705059
1094SH;37.22435779;34.41954571;34.28103647;34.3849184;40.61783412;36.53181159;36.24325068;1.027070064;0.949681529;0.945859873;0.948726115;1.120700637;1.007961783
1094NN;51.55959709;44.30030363;;;51.09425776;;48.98471949;1.052564915;0.904369854;;;1.043065231;
1094ME;38.18419814;39.1388031;37.74667087;38.66150062;42.08216837;40.05363284;39.31116233;0.971332209;0.995615514;0.960202361;0.983473862;1.070489039;1.018887015
1094SB;68.92077407;75.87673273;76.58652443;67.89157611;71.40504502;66.36552395;71.17436272;0.968337073;1.066068312;1.076040888;0.953876839;1.003241087;0.932435802
1094SN;;;;;46.02512232;46.31368108;46.1694017;;;;;0.996875;1.003125
1094SR;47.18620841;47.59211127;42.11242256;42.26463613;49.97679062;51.9555671;46.84795602;1.007220217;1.015884477;0.898916968;0.902166065;1.066787004;1.109025271
1094SP;38.81539548;;33.50969394;34.62668374;40.72358639;38.1638181;37.16783553;1.044327573;;0.901577761;0.931630353;1.095667418;1.026796895
1094NR;48.42319871;47.66500666;42.76203143;43.21694666;50.04067508;48.92866007;46.83941977;1.03381295;1.017625899;0.91294964;0.922661871;1.068345324;1.044604317
1094SC;;38.46408778;37.44831082;35.58605305;43.54297262;38.80268011;38.76882087;;0.992139738;0.965938865;0.91790393;1.123144105;1.000873362
1094LW;38.11257115;33.86141142;34.3419773;33.34387893;36.19030762;37.18840599;35.5064254;1.073399271;0.953669964;0.967204581;0.939094222;1.019260802;1.047371161
1094EW;38.04863783;35.82088301;35.36118758;37.62430358;43.52962191;38.4376109;38.1370408;0.997681966;0.939267501;0.927213723;0.986555401;1.141400093;1.007881317
1091KZ;37.00624055;35.3882547;34.72446563;35.01487335;;45.22063027;37.4708929;0.987599646;0.944419841;0.926705049;0.93445527;;1.206820195
1091LC;51.08917094;52.30450805;53.20475776;50.72907106;50.2789462;50.99914597;51.43426666;0.993290548;1.016919487;1.034422404;0.986289382;0.977537923;0.991540257
1091LE;35.00144792;35.3742003;35.89605362;34.85234697;38.13256786;35.26237458;35.75316521;0.978974805;0.989400521;1.003996525;0.974804518;1.066550825;0.986272806
1091LG;42.3352022;40.70183152;35.80171949;37.56752563;44.58660503;42.95323435;40.65768637;1.041259501;1.001085776;0.880564604;0.923995657;1.096634093;1.056460369
1091LH;43.24929516;44.21331187;44.52004446;39.21795255;49.69067955;48.33229236;44.87059599;0.963867187;0.985351563;0.9921875;0.874023438;1.107421875;1.077148438
1091LN;33.17267035;35.64997595;35.22418905;34.25649155;38.78531586;33.32750195;35.06935745;0.945916115;1.016556291;1.004415011;0.976821192;1.105960265;0.950331126
1091LP;41.63342727;40.47249516;40.07217374;;45.0361593;40.67265587;41.57738227;1.001347968;0.973425765;0.96379742;;1.083188908;0.978239938
1091LR;37.72337214;39.09236548;38.90222752;37.95153769;40.27122086;37.95153769;38.64871023;0.976057724;1.011479173;1.006559528;0.981961299;1.041980977;0.981961299
1091ME;43.73368055;43.13294318;38.96783075;40.32950212;46.7373674;42.7324516;42.60562927;1.026476578;1.012376625;0.914616951;0.946576845;1.096976343;1.002976657
1091MG;36.84782299;35.68631553;35.16563977;;;37.0480829;36.1869653;1.018262313;0.986164914;0.971776425;;;1.023796348
1091NB;46.4170384;49.58607315;47.16269363;46.86443154;47.64736953;49.80976972;47.91456266;0.968745947;1.034885229;0.984308131;0.978083258;0.994423551;1.039553884
1091NH;48.22762516;46.57798809;46.14131945;42.40537665;46.77206304;45.51057586;45.93915804;1.049815173;1.013906002;1.004400634;0.923076923;1.018130611;0.990670657
1091NJ;37.83628702;37.98481023;37.91054862;36.23966254;;43.03459927;38.60118154;0.980184686;0.98403232;0.982108503;0.938822624;;1.114851866
